"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.46954624136292e-30,1.25527917883802,0.264,0.048,1.63589861980124e-25,"Dendritic cells","PACC1"
4.74105737457072e-30,0.250787831626373,0.466,0.195,1.73527440966663e-25,"Dendritic cells","KLHL5"
4.87639243730966e-30,0.678762709252239,0.459,0.163,1.78480839597971e-25,"Dendritic cells","PSMD4"
4.90744816535245e-30,0.33549328054356,0.399,0.15,1.79617510300065e-25,"Dendritic cells","RAD23A"
5.13676031566824e-30,0.347675560136652,0.514,0.227,1.88010564313773e-25,"Dendritic cells","POLD4"
5.16775501186338e-30,0.415313913356226,0.372,0.14,1.89145001189212e-25,"Dendritic cells","CAPN1"
5.2845023891811e-30,0.282668693753183,0.568,0.275,1.93418071946417e-25,"Dendritic cells","SAP18"
5.3666542895848e-30,0.368493241107073,0.568,0.247,1.96424913653093e-25,"Dendritic cells","AC023424.3"
5.40235573794148e-30,0.807710121146444,0.426,0.134,1.97731622364396e-25,"Dendritic cells","SEC13"
5.46715903430677e-30,0.712983558677891,0.297,0.086,2.00103487814662e-25,"Dendritic cells","GAA"
5.49361147205365e-30,1.61557168054424,0.331,0.065,2.01071673488636e-25,"Dendritic cells","RPS6KA4"
5.53067581527461e-30,0.267005995286045,0.547,0.252,2.02428265514866e-25,"Dendritic cells","TUBB4B"
5.62880311587495e-30,0.281717674423518,0.541,0.249,2.06019822844139e-25,"Dendritic cells","MAP1LC3B"
5.70219439366747e-30,1.64586675005649,0.338,0.064,2.08706017002623e-25,"Dendritic cells","HPS5"
5.95191275285639e-30,2.51073109818806,0.338,0.046,2.17845958667297e-25,"Dendritic cells","EMP1"
6.0772963247478e-30,0.316360178516768,0.662,0.343,2.22435122782094e-25,"Dendritic cells","CDC37"
6.19873368409868e-30,0.740072556694129,0.831,0.403,2.26879851571696e-25,"Dendritic cells","ARL4C"
6.83336648077949e-30,0.5894210173545,0.378,0.129,2.5010804656301e-25,"Dendritic cells","PDIA6"
7.16374794806504e-30,0.598955846242362,0.5,0.202,2.62200338647129e-25,"Dendritic cells","BANF1"
7.37357232806409e-30,0.482262383392959,0.622,0.282,2.69880120779474e-25,"Dendritic cells","PPP1CA"
7.42308092510165e-30,0.791195052397327,1,0.981,2.71692184939646e-25,"Dendritic cells","TMSB4X"
7.5510835969697e-30,0.582080032704506,0.399,0.14,2.76377210732688e-25,"Dendritic cells","AP3D1"
7.71859437794292e-30,1.16990925458048,0.304,0.067,2.82508272827089e-25,"Dendritic cells","ELOVL1"
8.02039933591461e-30,0.946354186743107,0.912,0.464,2.93554636093811e-25,"Dendritic cells","ATP5MC2"
8.24488205479924e-30,0.683973893979382,0.52,0.181,3.01770928087707e-25,"Dendritic cells","CTBP2"
8.5038149088344e-30,0.346631419494314,0.716,0.372,3.11248129478248e-25,"Dendritic cells","PDIA3"
8.59036905884668e-30,0.402617705623187,0.723,0.368,3.14416097922847e-25,"Dendritic cells","TRIR"
8.64813260852971e-30,0.376161321596694,0.554,0.246,3.16530301604796e-25,"Dendritic cells","USP32"
8.80557736139222e-30,3.57268542550821,0.25,0.017,3.22292937004317e-25,"Dendritic cells","SEZ6L"
9.51138296402926e-30,0.627433168082182,0.405,0.139,3.48126127866435e-25,"Dendritic cells","DNAJC15"
9.52324596366106e-30,0.843798870282232,0.324,0.088,3.48560325515959e-25,"Dendritic cells","GTF3C6"
9.52696201640498e-30,0.372387988934813,0.574,0.266,3.48696336762439e-25,"Dendritic cells","SCAND1"
9.73136622274359e-30,0.364696561888237,0.459,0.192,3.56177735118638e-25,"Dendritic cells","PSMD8"
